NAME,POSITION,AGENCY,ROLE
PUAN SITI ZELIHA BINTI MUSNEH,KETUA JABATAN / PENGARAH JABATAN KAWAL SELIA EKONOMI,ENERGY COMMISSION OF SABAH (ECOS),PESERTA
MOHD ADAM BIN BOHARI,KETUA JABATAN / PENGARAH JABATAN UNDANG-UNDANG,ENERGY COMMISSION OF SABAH (ECOS),PESERTA
PUAN NOOR AZEE ASHIKEEN BINTI ASNGARI,SETIAUSAHA SURUHANJAYA,ENERGY COMMISSION OF SABAH (ECOS),PESERTA
YB DATUK HARUN BIN DURABI,PENGERUSI KO-NELAYAN,"KORPORASI KEMAJUAN PERIKANAN DAN 
NELAYAN SABAH (KO-NELAYAN)",PESERTA
YBHG. DATUK HAJI YUSOF BIN HAJI AG. BESAR,PENGURUS BESAR / AHLI LEMBAGA PENGARAH KO-NELAYAN,"KORPORASI KEMAJUAN PERIKANAN DAN 
NELAYAN SABAH (KO-NELAYAN)",PESERTA
ISMAIL BIN SABRAN,AHLI LEMBAGA PENGARAH KO-NELAYAN,"KORPORASI KEMAJUAN PERIKANAN DAN 
NELAYAN SABAH (KO-NELAYAN)",PESERTA
DATUK REDONAH BAHANDA,PENGERUSI AHLI LEMBAGA PENGARAH ,"PERBADANAN PEMBANGUNAN EKONOMI SABAH (SEDCO)
SEDCOVEST ",PESERTA
YAHYA BIN SIDEK,PENGURUS BESAR ,"PERBADANAN PEMBANGUNAN EKONOMI SABAH (SEDCO)
SEDCOVEST ",PESERTA
REMYSTA JIMMY TAYLOR,KETUA PEGAWAI EKSEKUTIF,SABAPAK ECO SDN BHD,PESERTA
PATRICIA UBING,KETUA PEGAWAI EKSEKUTIF (CEO),SABAH DEVELOPMENT BANK BERHAD,PESERTA
DATUK JOSHUA HO,AHLI LEMBAGA PENGARAH,SABAH DEVELOPMENT BANK BERHAD,PESERTA
"YBHG DATUK DR. HAJAH ROSMAWATI HAJI LASUKI, JP",KETUA PEGAWAI EKSEKUTIF,KUMPULAN YAYASAN SABAH,PESERTA
SAIL JAMALUDIN ,CHIEF OPERATING OFFICER,KUMPULAN YAYASAN SABAH,PESERTA
RIXDYVZ A. JOPIN,FINANCE MANAGER,KUMPULAN YAYASAN SABAH,PESERTA
HAJAH AINAHWATI HJ ABD SANI,PENGURUS KUMPULAN,KUMPULAN YAYASAN SABAH,PESERTA
HALIJAH BINTI HJ LAIN,PENGURUS KUMPULAN,KUMPULAN YAYASAN SABAH,PESERTA
EN JOHANN JOSEPH DIEGO @ JOHAN YUSOF HAMDAN,AHLI LEMBAGA PENGARAH,PERMODALAN BUMIPUTRA SABAH BERHAD,PESERTA
EN GHULAM HASSAN BIN MOHD RAJIN,PENGURUS BESAR (MERANGKAP),PERMODALAN BUMIPUTRA SABAH BERHAD,PESERTA
TINDARAMA DR BANABAS @ BENEDICT TAPIN,PRESIDEN MAJLIS HAL EHWAL ANAK NEGERI SABAH,MAJLIS HAL EHWAL ANAK NEGERI SABAH (MHEANS),PESERTA
SUBHA SATHIAMOORTHY A/L MARIAH@MARAIAH,DIRECTOR,"SEDCO COMMUNICATION SDN BHD
(ANAK SYARIKAT SEDCO)",PESERTA
DATUK AFIZAL BIN ALDIN,KETUA PEGAWAI EKSEKUTIF ,"SABAH URBAN DEVELOPMENT CORPORATION SDN BHD
ANAK SYARIKAT SEDCO)",PESERTA
MICHAEL JIMLI GUJILO,GENERAL MANAGER,"SABAH AGRICUTURAL MARKETING AUTHORITY
SYARIKAT DIBAWAH MAFFI)",PESERTA
JULIA MAJAIL,GENERAL MANAGER,"SABAH OIL PALM INDUSTRY AUTHORITY
SYARIKAT DIBAWAH MAFFI)",PESERTA
